id_venta,fecha,producto,categoria,precio,cantidad,cliente,ciudad,sucursal,metodo_pago,vendedor,turno
20,2024-03-28,Pelota de Fútbol,Deportes,593.77,4,Valentina Cruz,Ciudad de México,Sucursal Sur,Transferencia,Ernesto Campos,Nocturno
21,2024-03-29,Toalla,Hogar,132.44,7,Luis Espinoza,Monterrey,Sucursal Norte,Efectivo,Norma Ibarra,Matutino
22,2025-04-18,Guantes de Box,Deportes,1181.52,11,Marco Sánchez,Ciudad de México,Sucursal Sur,Efectivo,Diana Reyes,Vespertino
23,2024-04-14,Laptop,Electrónica,15996.14,13,Luis Espinoza,Ciudad de México,Sucursal Norte,Efectivo,Rosa Méndez,Matutino
24,2024-09-28,Esmalte,Belleza,102.12,9,José Rodríguez,Monterrey,Sucursal Norte,Tarjeta de Crédito,Samuel Torres,Vespertino
25,2025-02-26,Muñeca,Juguetes,226.12,13,Ximena Paredes,León,Sucursal Norte,Transferencia,Arturo Sandoval,Matutino
26,2025-12-20,Bloques Didácticos,Juguetes,340.61,20,José Rodríguez,Mérida,Sucursal Centro,Efectivo,Bruno Herrera,Vespertino
27,2024-09-25,Galletas,Alimentos,27.52,17,Daniela Herrera,Guadalajara,Sucursal Norte,Tarjeta de Crédito,Patricia Lara,Matutino
28,2024-05-12,Chocolate,Alimentos,30.11,2,Laura Hernández,Tijuana,Sucursal Norte,Transferencia,Carmen Villanueva,Vespertino
29,2025-09-04,Agua,Alimentos,39.5,18,Rosa Ávila,Mérida,Sucursal Centro,Tarjeta de Crédito,Natalia Rojas,Nocturno
30,2025-10-31,Lámpara,Hogar,527.48,5,Ricardo Castillo,Mérida,Sucursal Centro,Efectivo,Bruno Herrera,Vespertino
31,2025-06-24,Tijeras,Papelería,44.25,16,Pablo Álvarez,Monterrey,Sucursal Centro,Tarjeta de Débito,Graciela Núñez,Nocturno
32,2024-12-13,Galletas,Alimentos,53.39,11,Guillermo León,Monterrey,Sucursal Centro,Efectivo,Raúl Guerrero,Matutino
33,2025-01-02,Almohada,Hogar,159.28,19,Pablo Álvarez,Puebla,Sucursal Norte,Tarjeta de Crédito,Osvaldo Ramos,Vespertino
34,2024-08-29,Folder,Papelería,44.12,2,Adriana Molina,Tijuana,Sucursal Norte,Efectivo,Iván Espinoza,Nocturno
35,2024-08-01,Rompecabezas,Juguetes,278.28,6,Diego Cabrera,Monterrey,Sucursal Sur,Transferencia,Susana Palacios,Vespertino
36,2025-04-23,Galletas,Alimentos,37.93,20,Cecilia Trujillo,León,Sucursal Norte,Efectivo,Arturo Sandoval,Matutino
37,2025-09-25,Galletas,Alimentos,47.15,4,Diego Cabrera,Monterrey,Sucursal Norte,Tarjeta de Crédito,Norma Ibarra,Matutino
38,2024-04-01,Galletas,Alimentos,49.0,13,Alicia Ponce,Guadalajara,Sucursal Centro,Transferencia,Felipe Ríos,Matutino
39,2025-10-27,Rompecabezas,Juguetes,252.03,17,Fernando Flores,Monterrey,Sucursal Sur,Transferencia,Marcos Aguilar,Nocturno
40,2025-11-29,Labial,Belleza,147.32,7,Tomás Vega,Ciudad de México,Sucursal Sur,Tarjeta de Crédito,Ernesto Campos,Nocturno
41,2024-01-04,Detergente,Hogar,113.02,4,Carlos López,Mérida,Sucursal Centro,Transferencia,Natalia Rojas,Nocturno
42,2025-09-20,Pantalón,Ropa,732.48,4,Daniela Herrera,Guadalajara,Sucursal Norte,Tarjeta de Crédito,Andrés Mora,Vespertino
43,2025-10-03,Monitor,Electrónica,7827.74,18,Valentina Cruz,Monterrey,Sucursal Centro,Tarjeta de Crédito,Raúl Guerrero,Matutino
44,2024-08-21,Pantalón,Ropa,358.71,3,Renata Suárez,Puebla,Sucursal Centro,Transferencia,Rodrigo Salinas,Matutino
45,2024-03-28,Perfume,Belleza,812.96,4,Andrés Vargas,Ciudad de México,Sucursal Centro,Tarjeta de Débito,Lorena Soto,Nocturno
46,2025-06-03,Calcetines,Ropa,63.16,6,Rebeca Campos,Ciudad de México,Sucursal Centro,Efectivo,Miguel Peña,Matutino
47,2025-08-05,Folder,Papelería,44.77,20,Laura Hernández,León,Sucursal Centro,Transferencia,Adriana Méndez,Matutino
48,2024-01-10,Camiseta,Ropa,267.88,11,María Martínez,Puebla,Sucursal Centro,Tarjeta de Crédito,Rodrigo Salinas,Matutino
49,2024-12-29,Pelota de Fútbol,Deportes,482.06,18,Silvia Fuentes,Guadalajara,Sucursal Centro,Tarjeta de Débito,Felipe Ríos,Matutino
50,2025-03-21,Almohada,Hogar,254.84,18,Andrés Vargas,Guadalajara,Sucursal Centro,Tarjeta de Crédito,Felipe Ríos,Matutino
51,2024-02-13,Agua,Alimentos,20.95,5,Alejandra Morales,Tijuana,Sucursal Centro,Transferencia,Alejandro Medina,Matutino
52,2024-05-24,Crema Facial,Belleza,182.46,10,Sergio Gutiérrez,Ciudad de México,Sucursal Norte,Transferencia,Rosa Méndez,Matutino
53,2025-09-15,Cargador,Electrónica,202.38,19,Luis Espinoza,Monterrey,Sucursal Sur,Tarjeta de Crédito,Marcos Aguilar,Nocturno
54,2025-05-10,Calcetines,Ropa,40.65,12,Óscar Ríos,Ciudad de México,Sucursal Sur,Efectivo,Diana Reyes,Vespertino
55,2024-09-06,Monitor,Electrónica,4414.02,15,Enrique Guerrero,León,Sucursal Centro,Efectivo,Daniel Cervantes,Nocturno
56,2025-12-29,Bloques Didácticos,Juguetes,232.79,8,Roberto Reyes,Monterrey,Sucursal Centro,Tarjeta de Débito,Raúl Guerrero,Matutino
57,2024-11-05,Lámpara,Hogar,646.14,6,Alberto Varela,Monterrey,Sucursal Norte,Efectivo,Samuel Torres,Vespertino
58,2025-04-29,Teclado,Electrónica,473.94,14,Lucía Ramos,Ciudad de México,Sucursal Centro,Tarjeta de Crédito,Miguel Peña,Matutino
59,2024-09-01,Sudadera,Ropa,334.81,6,Ricardo Castillo,León,Sucursal Norte,Efectivo,Perla Guzmán,Vespertino
60,2024-01-11,Shampoo,Belleza,88.26,19,Arturo Navarro,Puebla,Sucursal Centro,Tarjeta de Crédito,Rodrigo Salinas,Matutino
61,2024-02-08,Auriculares,Electrónica,409.29,10,Enrique Guerrero,Monterrey,Sucursal Sur,Tarjeta de Débito,Susana Palacios,Vespertino
62,2024-10-14,Teclado,Electrónica,379.37,6,Adriana Molina,Ciudad de México,Sucursal Centro,Tarjeta de Débito,Lorena Soto,Nocturno
63,2025-11-14,Auriculares,Electrónica,1618.22,14,Alejandra Morales,Ciudad de México,Sucursal Sur,Efectivo,Diana Reyes,Vespertino
64,2024-11-23,Toalla,Hogar,173.51,4,Fernando Flores,Tijuana,Sucursal Norte,Tarjeta de Crédito,Iván Espinoza,Nocturno
65,2025-05-29,Bolígrafo,Papelería,37.9,7,Adriana Molina,Guadalajara,Sucursal Sur,Tarjeta de Crédito,Héctor Lima,Nocturno
66,2025-10-15,Pantalón,Ropa,584.15,6,Carlos López,Monterrey,Sucursal Norte,Efectivo,Samuel Torres,Vespertino
67,2024-06-07,Calcetines,Ropa,58.42,15,Pablo Álvarez,Monterrey,Sucursal Sur,Transferencia,Marcos Aguilar,Nocturno
68,2024-04-13,Almohada,Hogar,270.23,2,Daniela Herrera,Guadalajara,Sucursal Norte,Transferencia,Patricia Lara,Matutino
69,2024-03-03,Crema Facial,Belleza,362.95,2,Guillermo León,Monterrey,Sucursal Norte,Tarjeta de Débito,Norma Ibarra,Matutino
70,2024-07-09,Almohada,Hogar,259.29,18,Felipe Núñez,Tijuana,Sucursal Norte,Efectivo,Carmen Villanueva,Vespertino
71,2025-06-07,Lámpara,Hogar,596.9,7,Sofía Pérez,Monterrey,Sucursal Centro,Efectivo,Raúl Guerrero,Matutino
72,2024-09-14,Bloques Didácticos,Juguetes,283.58,15,Guillermo León,Monterrey,Sucursal Centro,Tarjeta de Débito,Graciela Núñez,Nocturno
73,2025-11-01,Camiseta,Ropa,254.93,16,Valentina Cruz,Tijuana,Sucursal Norte,Transferencia,Iván Espinoza,Nocturno
74,2024-03-10,Toalla,Hogar,236.46,13,Andrés Vargas,Mérida,Sucursal Norte,Transferencia,Ramón Delgado,Nocturno
75,2024-12-09,Pantalón,Ropa,614.53,4,David Torres,Monterrey,Sucursal Sur,Efectivo,Susana Palacios,Vespertino
76,2025-09-17,Colchoneta,Deportes,751.23,13,Verónica Aguilar,Monterrey,Sucursal Norte,Transferencia,Norma Ibarra,Matutino
77,2024-04-24,Detergente,Hogar,149.04,14,Óscar Ríos,León,Sucursal Norte,Transferencia,Perla Guzmán,Vespertino
78,2024-01-26,Grapadora,Papelería,133.7,18,Sandra Peña,León,Sucursal Norte,Efectivo,Arturo Sandoval,Matutino
79,2025-05-03,Cargador,Electrónica,186.93,11,Rosa Ávila,Puebla,Sucursal Centro,Efectivo,Rodrigo Salinas,Matutino
80,2025-08-02,Esmalte,Belleza,107.26,7,Roberto Reyes,Ciudad de México,Sucursal Sur,Transferencia,Diana Reyes,Vespertino
81,2024-10-19,Shampoo,Belleza,170.08,20,Verónica Aguilar,Ciudad de México,Sucursal Centro,Transferencia,Miguel Peña,Matutino
82,2025-07-10,Jugo,Alimentos,24.01,13,Ana García,Guadalajara,Sucursal Centro,Tarjeta de Débito,Claudia Vega,Nocturno
83,2024-12-07,Muñeca,Juguetes,583.33,20,Jorge Romero,Ciudad de México,Sucursal Sur,Tarjeta de Débito,Ernesto Campos,Nocturno
84,2024-08-25,Camiseta,Ropa,275.84,11,Camila Díaz,Monterrey,Sucursal Centro,Transferencia,Graciela Núñez,Nocturno
85,2025-01-20,Teclado,Electrónica,239.89,13,Jorge Romero,Mérida,Sucursal Centro,Tarjeta de Débito,Natalia Rojas,Nocturno
86,2024-08-26,Folder,Papelería,41.32,11,Guillermo León,Guadalajara,Sucursal Norte,Tarjeta de Crédito,Patricia Lara,Matutino
87,2025-12-14,Colchoneta,Deportes,452.35,8,Víctor Salinas,Ciudad de México,Sucursal Centro,Transferencia,Miguel Peña,Matutino
88,2024-04-17,Camiseta,Ropa,191.06,19,Miguel González,Guadalajara,Sucursal Sur,Tarjeta de Crédito,Estela Cruz,Vespertino
89,2025-03-05,Perfume,Belleza,979.29,13,Mariana Medina,Tijuana,Sucursal Norte,Tarjeta de Débito,Carmen Villanueva,Vespertino
90,2025-01-15,Gorra,Ropa,114.5,12,Pablo Álvarez,Mérida,Sucursal Norte,Tarjeta de Crédito,Ramón Delgado,Nocturno
91,2024-07-20,Lámpara,Hogar,279.62,19,Fernanda Luna,Mérida,Sucursal Centro,Tarjeta de Crédito,Bruno Herrera,Vespertino
92,2024-03-23,Gorra,Ropa,242.43,15,Ana García,Mérida,Sucursal Centro,Transferencia,Natalia Rojas,Nocturno
93,2024-09-17,Crema Facial,Belleza,362.71,17,Ignacio Miranda,Monterrey,Sucursal Sur,Tarjeta de Crédito,Marcos Aguilar,Nocturno
94,2025-09-14,Folder,Papelería,47.76,12,Tomás Vega,Monterrey,Sucursal Centro,Transferencia,Raúl Guerrero,Matutino
95,2025-07-12,Almohada,Hogar,224.2,4,Alicia Ponce,Ciudad de México,Sucursal Centro,Tarjeta de Débito,Miguel Peña,Matutino
96,2024-12-13,Chocolate,Alimentos,69.19,1,Julio Cortez,Ciudad de México,Sucursal Norte,Transferencia,Jorge Vargas,Vespertino
97,2024-09-17,Agua,Alimentos,31.38,16,Ramón Ortega,Tijuana,Sucursal Centro,Transferencia,Alejandro Medina,Matutino
98,2025-11-30,Mouse,Electrónica,209.68,17,Óscar Ríos,León,Sucursal Norte,Tarjeta de Débito,Perla Guzmán,Vespertino
99,2025-09-10,Rompecabezas,Juguetes,192.83,18,José Rodríguez,Puebla,Sucursal Centro,Transferencia,Beatriz Flores,Nocturno
100,2024-02-25,Carro de Juguete,Juguetes,273.62,7,Daniela Herrera,Ciudad de México,Sucursal Centro,Tarjeta de Débito,Miguel Peña,Matutino
101,2024-02-11,Almohada,Hogar,260.93,4,Beatriz Rojas,León,Sucursal Norte,Transferencia,Arturo Sandoval,Matutino
102,2025-01-15,Laptop,Electrónica,14632.84,7,Juan Cervantes,Tijuana,Sucursal Norte,Tarjeta de Débito,Iván Espinoza,Nocturno
103,2025-07-05,Colchoneta,Deportes,576.84,12,Jorge Romero,Ciudad de México,Sucursal Centro,Transferencia,Lorena Soto,Nocturno
104,2025-06-29,Carro de Juguete,Juguetes,355.21,19,Ana García,Guadalajara,Sucursal Centro,Tarjeta de Crédito,Claudia Vega,Nocturno
105,2024-05-25,Muñeca,Juguetes,505.17,3,Laura Hernández,Tijuana,Sucursal Centro,Efectivo,Alejandro Medina,Matutino
106,2025-01-08,Detergente,Hogar,138.71,3,Gabriela Moreno,Monterrey,Sucursal Sur,Transferencia,Susana Palacios,Vespertino
107,2024-12-20,Labial,Belleza,106.89,17,Natalia Ruiz,Guadalajara,Sucursal Sur,Tarjeta de Crédito,Héctor Lima,Nocturno
108,2024-12-03,Pantalón,Ropa,321.3,16,Sergio Gutiérrez,Ciudad de México,Sucursal Centro,Efectivo,Miguel Peña,Matutino
109,2024-04-02,Zapatos Deportivos,Deportes,1644.12,11,Cecilia Trujillo,Monterrey,Sucursal Norte,Transferencia,Samuel Torres,Vespertino
110,2025-02-24,USB Flash Drive,Electrónica,192.36,20,Valentina Cruz,Puebla,Sucursal Norte,Tarjeta de Crédito,Irene Castillo,Matutino
111,2025-12-30,Almohada,Hogar,364.51,15,Ricardo Castillo,Monterrey,Sucursal Centro,Tarjeta de Débito,Raúl Guerrero,Matutino
112,2025-02-07,Carro de Juguete,Juguetes,352.95,17,José Rodríguez,Ciudad de México,Sucursal Norte,Efectivo,Rosa Méndez,Matutino
113,2024-06-26,Toalla,Hogar,238.1,6,Pablo Álvarez,León,Sucursal Norte,Transferencia,Arturo Sandoval,Matutino
114,2025-03-31,Marcadores,Papelería,59.58,17,Ricardo Castillo,Mérida,Sucursal Norte,Efectivo,Ramón Delgado,Nocturno
115,2024-04-16,Mouse,Electrónica,314.79,16,Elena Delgado,Puebla,Sucursal Centro,Tarjeta de Crédito,Rodrigo Salinas,Matutino
116,2025-03-17,Esmalte,Belleza,76.02,18,Mariana Medina,Puebla,Sucursal Norte,Efectivo,Irene Castillo,Matutino
117,2025-01-22,Crema Facial,Belleza,263.22,5,María Martínez,Puebla,Sucursal Centro,Efectivo,Beatriz Flores,Nocturno
118,2025-08-08,Gorra,Ropa,229.05,1,Daniela Herrera,Tijuana,Sucursal Norte,Tarjeta de Crédito,Iván Espinoza,Nocturno
119,2024-05-13,Gorra,Ropa,168.87,14,Mónica Ibáñez,León,Sucursal Norte,Transferencia,Arturo Sandoval,Matutino
120,2024-12-18,Bolígrafo,Papelería,33.71,3,Pablo Álvarez,Puebla,Sucursal Centro,Efectivo,Rodrigo Salinas,Matutino
121,2024-09-05,Detergente,Hogar,67.43,17,Lucía Ramos,Ciudad de México,Sucursal Norte,Efectivo,Rosa Méndez,Matutino
122,2024-01-25,Bloques Didácticos,Juguetes,240.85,4,Alberto Varela,León,Sucursal Norte,Transferencia,Perla Guzmán,Vespertino
123,2024-09-30,Crema Facial,Belleza,443.91,2,Rebeca Campos,Guadalajara,Sucursal Norte,Tarjeta de Débito,Andrés Mora,Vespertino
124,2024-03-22,Pelota de Fútbol,Deportes,259.93,15,Sergio Gutiérrez,Monterrey,Sucursal Sur,Transferencia,Marcos Aguilar,Nocturno
125,2025-01-29,Folder,Papelería,50.46,14,Enrique Guerrero,León,Sucursal Centro,Tarjeta de Débito,Adriana Méndez,Matutino
126,2024-02-07,Grapadora,Papelería,150.74,20,David Torres,Ciudad de México,Sucursal Centro,Transferencia,Miguel Peña,Matutino
127,2025-12-26,Monitor,Electrónica,4104.54,15,Renata Suárez,Monterrey,Sucursal Centro,Tarjeta de Débito,Raúl Guerrero,Matutino
128,2025-06-05,Rompecabezas,Juguetes,205.5,2,Isabel Ramírez,Guadalajara,Sucursal Centro,Transferencia,Felipe Ríos,Matutino
129,2024-01-09,Sudadera,Ropa,341.31,11,Roberto Reyes,Guadalajara,Sucursal Sur,Tarjeta de Débito,Héctor Lima,Nocturno
130,2024-12-27,Agua,Alimentos,32.32,10,Sofía Pérez,León,Sucursal Centro,Efectivo,Adriana Méndez,Matutino
131,2025-02-19,Teclado,Electrónica,486.1,13,Mónica Ibáñez,Monterrey,Sucursal Sur,Transferencia,Susana Palacios,Vespertino
132,2025-02-13,Zapatos Deportivos,Deportes,1068.59,7,Ricardo Castillo,Guadalajara,Sucursal Sur,Transferencia,Estela Cruz,Vespertino
133,2025-06-21,Toalla,Hogar,219.47,10,Arturo Navarro,Guadalajara,Sucursal Norte,Transferencia,Patricia Lara,Matutino
134,2025-06-17,Rompecabezas,Juguetes,206.67,20,Arturo Navarro,Guadalajara,Sucursal Sur,Efectivo,Héctor Lima,Nocturno
135,2024-04-16,Muñeca,Juguetes,466.46,4,Sofía Pérez,Ciudad de México,Sucursal Sur,Transferencia,Ernesto Campos,Nocturno
136,2024-05-02,Monitor,Electrónica,6826.78,3,Camila Díaz,Mérida,Sucursal Centro,Efectivo,Natalia Rojas,Nocturno
137,2025-08-05,Camiseta,Ropa,323.04,20,Mónica Ibáñez,Monterrey,Sucursal Sur,Tarjeta de Crédito,Marcos Aguilar,Nocturno
138,2024-03-02,Jugo,Alimentos,23.94,14,Manuel Bravo,Guadalajara,Sucursal Norte,Efectivo,Patricia Lara,Matutino
139,2024-04-12,Pantalón,Ropa,636.41,10,Alberto Varela,León,Sucursal Norte,Transferencia,Perla Guzmán,Vespertino
140,2024-02-15,Almohada,Hogar,180.44,7,Ignacio Miranda,Monterrey,Sucursal Centro,Efectivo,Graciela Núñez,Nocturno
141,2024-05-10,Jugo,Alimentos,25.57,3,Alberto Varela,Puebla,Sucursal Norte,Tarjeta de Crédito,Osvaldo Ramos,Vespertino
142,2025-04-19,Jugo,Alimentos,24.93,10,Natalia Ruiz,Puebla,Sucursal Centro,Efectivo,Rodrigo Salinas,Matutino
143,2024-12-09,Shampoo,Belleza,180.99,14,Isabel Ramírez,León,Sucursal Norte,Tarjeta de Crédito,Perla Guzmán,Vespertino
144,2024-01-23,Cargador,Electrónica,223.74,16,Cecilia Trujillo,León,Sucursal Centro,Tarjeta de Crédito,Adriana Méndez,Matutino
145,2025-08-01,Carro de Juguete,Juguetes,487.85,9,Sandra Peña,Puebla,Sucursal Norte,Transferencia,Osvaldo Ramos,Vespertino
146,2025-02-01,Perfume,Belleza,1243.51,7,Jorge Romero,Puebla,Sucursal Norte,Transferencia,Irene Castillo,Matutino
147,2024-12-10,Café,Alimentos,209.65,2,Renata Suárez,Tijuana,Sucursal Norte,Tarjeta de Débito,Carmen Villanueva,Vespertino
148,2025-10-16,Mouse,Electrónica,405.15,2,Andrés Vargas,Monterrey,Sucursal Norte,Tarjeta de Débito,Samuel Torres,Vespertino
149,2024-04-23,Gorra,Ropa,117.23,13,Rosa Ávila,Ciudad de México,Sucursal Centro,Tarjeta de Débito,Lorena Soto,Nocturno
150,2024-02-27,Almohada,Hogar,246.0,13,Ricardo Castillo,Guadalajara,Sucursal Sur,Transferencia,Héctor Lima,Nocturno
151,2024-06-08,Grapadora,Papelería,82.45,19,Luis Espinoza,Puebla,Sucursal Norte,Transferencia,Irene Castillo,Matutino
152,2024-09-24,Esmalte,Belleza,35.1,10,Andrés Vargas,Mérida,Sucursal Centro,Tarjeta de Crédito,Bruno Herrera,Vespertino
153,2024-07-08,Pelota de Fútbol,Deportes,321.97,16,Beatriz Rojas,Guadalajara,Sucursal Sur,Tarjeta de Crédito,Estela Cruz,Vespertino
154,2024-06-26,Guantes de Box,Deportes,813.27,4,Julio Cortez,León,Sucursal Centro,Efectivo,Daniel Cervantes,Nocturno
155,2025-04-05,Sudadera,Ropa,463.64,20,Rosa Ávila,Ciudad de México,Sucursal Centro,Tarjeta de Débito,Lorena Soto,Nocturno
156,2024-06-14,Sudadera,Ropa,338.38,2,Lucía Ramos,Ciudad de México,Sucursal Norte,Transferencia,Rosa Méndez,Matutino
157,2025-08-27,Esmalte,Belleza,104.26,3,Paola Mendoza,Tijuana,Sucursal Norte,Transferencia,Iván Espinoza,Nocturno
158,2024-11-23,Jugo,Alimentos,33.25,20,María Martínez,Monterrey,Sucursal Sur,Tarjeta de Débito,Susana Palacios,Vespertino
159,2025-04-23,Gorra,Ropa,145.48,18,Felipe Núñez,Tijuana,Sucursal Norte,Tarjeta de Débito,Iván Espinoza,Nocturno
160,2024-10-01,Pantalón,Ropa,565.51,2,Andrés Vargas,Monterrey,Sucursal Centro,Tarjeta de Crédito,Raúl Guerrero,Matutino
161,2024-10-26,Cuaderno,Papelería,91.67,11,Eduardo Jiménez,Monterrey,Sucursal Centro,Transferencia,Graciela Núñez,Nocturno
162,2024-10-26,Jugo,Alimentos,29.77,18,Adriana Molina,Puebla,Sucursal Centro,Tarjeta de Crédito,Beatriz Flores,Nocturno
163,2024-11-09,Agua,Alimentos,24.91,1,Gabriela Moreno,Mérida,Sucursal Norte,Tarjeta de Crédito,Ramón Delgado,Nocturno
164,2025-06-25,Grapadora,Papelería,127.44,11,Fernanda Luna,Ciudad de México,Sucursal Norte,Tarjeta de Débito,Jorge Vargas,Vespertino
165,2024-01-07,Camiseta,Ropa,162.48,5,Valentina Cruz,Ciudad de México,Sucursal Centro,Tarjeta de Débito,Lorena Soto,Nocturno
166,2025-09-24,Chocolate,Alimentos,47.14,3,Arturo Navarro,Puebla,Sucursal Norte,Efectivo,Osvaldo Ramos,Vespertino
167,2025-08-28,Detergente,Hogar,94.33,4,Óscar Ríos,Mérida,Sucursal Norte,Efectivo,Cecilia Ortiz,Matutino
168,2024-04-02,Grapadora,Papelería,92.84,8,Renata Suárez,León,Sucursal Centro,Efectivo,Adriana Méndez,Matutino
169,2024-07-02,Galletas,Alimentos,41.18,4,Julio Cortez,Guadalajara,Sucursal Norte,Efectivo,Andrés Mora,Vespertino
170,2024-08-20,Gorra,Ropa,161.79,8,Alejandra Morales,Guadalajara,Sucursal Sur,Efectivo,Estela Cruz,Vespertino
171,2024-02-06,Almohada,Hogar,175.63,5,Guillermo León,León,Sucursal Centro,Tarjeta de Débito,Adriana Méndez,Matutino
172,2025-01-08,Folder,Papelería,24.55,15,Verónica Aguilar,Monterrey,Sucursal Sur,Tarjeta de Débito,Susana Palacios,Vespertino
173,2025-05-02,Marcadores,Papelería,112.08,5,Andrés Vargas,Monterrey,Sucursal Norte,Tarjeta de Débito,Norma Ibarra,Matutino
174,2025-02-20,Café,Alimentos,139.71,14,Alicia Ponce,Monterrey,Sucursal Centro,Tarjeta de Débito,Raúl Guerrero,Matutino
175,2024-02-06,Zapatos Deportivos,Deportes,2131.64,11,Verónica Aguilar,Guadalajara,Sucursal Centro,Transferencia,Claudia Vega,Nocturno
176,2024-02-26,Almohada,Hogar,341.09,11,Fernanda Luna,Mérida,Sucursal Centro,Transferencia,Natalia Rojas,Nocturno
177,2024-03-03,Galletas,Alimentos,65.4,17,Camila Díaz,Monterrey,Sucursal Sur,Tarjeta de Débito,Marcos Aguilar,Nocturno
178,2025-02-21,Sudadera,Ropa,571.67,7,Héctor Soto,Guadalajara,Sucursal Norte,Transferencia,Patricia Lara,Matutino
179,2025-12-14,Rompecabezas,Juguetes,152.1,19,Ximena Paredes,Monterrey,Sucursal Norte,Efectivo,Norma Ibarra,Matutino
180,2024-06-20,Cargador,Electrónica,365.52,8,Rosa Ávila,Guadalajara,Sucursal Sur,Tarjeta de Crédito,Estela Cruz,Vespertino
181,2024-07-27,Carro de Juguete,Juguetes,354.59,2,Gabriela Moreno,Puebla,Sucursal Norte,Tarjeta de Crédito,Irene Castillo,Matutino
182,2024-11-29,Agua,Alimentos,26.84,20,Rebeca Campos,Tijuana,Sucursal Centro,Efectivo,Valeria Fuentes,Vespertino
183,2024-05-31,Zapatos Deportivos,Deportes,1978.14,3,Marco Sánchez,Ciudad de México,Sucursal Centro,Tarjeta de Débito,Miguel Peña,Matutino
184,2024-08-01,Pantalón,Ropa,745.37,6,Sofía Pérez,Guadalajara,Sucursal Norte,Tarjeta de Crédito,Andrés Mora,Vespertino
185,2024-08-18,Rompecabezas,Juguetes,258.8,13,María Martínez,Monterrey,Sucursal Centro,Tarjeta de Crédito,Graciela Núñez,Nocturno
186,2024-01-18,Auriculares,Electrónica,486.53,18,Ricardo Castillo,León,Sucursal Centro,Transferencia,Adriana Méndez,Matutino
187,2025-11-07,Monitor,Electrónica,4585.07,9,Sergio Gutiérrez,Ciudad de México,Sucursal Norte,Efectivo,Jorge Vargas,Vespertino
188,2025-12-15,Perfume,Belleza,681.55,8,José Rodríguez,Puebla,Sucursal Norte,Tarjeta de Crédito,Irene Castillo,Matutino
189,2024-06-17,Carro de Juguete,Juguetes,194.97,6,Manuel Bravo,Guadalajara,Sucursal Norte,Tarjeta de Débito,Patricia Lara,Matutino
